bangla,english,santali
সে বাদাম দেখেছিল।,He/she saw the almond.,unii̯ badam d͡ʒɔ ɲɛlkeda.
তোমাদের মাছ পরিষ্কার।,Your fish is clean.,apɛaʔ haku d̪ɔ sapʰaa.
তারা ঘড়ি কিনবে না।,They do not buy the watch.,oŋko d̪ɔ gʰuɽi bako kiɾiɲa.
আমি বেদ ও অহংকার দেখব।,I will see the vedas and the pride.,iɲ d̪ɔ bed aɾ adɔɾ ɲɛla.
সেই সময় তুমি কথা পড়ে শহরে আসবে।,"At that time, you study the word and then come to the town.",ɔkt̪ɛɾɛ am kat̪ʰa paɽha͡o̯kat̪ɛ sɔhɔɽɾɛ hiɟuʔa.
আমার মা আনন্দের।,My mother is happy.,iɲaʔ gɔgɔ d̪ɔ ɾɘskɘa.
গতকাল তোমরা ছুতার দেখে বাড়িতে খেলবে।,"Yesterday, you all see the carpenter and then play in the house.",hɔlaɾɛ apɛ bəɖʰi ɲɛlkat̪ɛ ɔɽaʔɾɛ gat̪ea.
আমাদের ফকির পরিষ্কার।,Our fakeer is clean.,alɛaʔ babad͡ʒi d̪ɔ sapʰaa.
সকালে আমি খাবার খেয়ে নদীতে যাব।,"In the morning, I eat the food and then go to the river.",sɛt̪aʔɾɛ iɲ ɟɔmaʔ ɟɔmkat̪ɛ gaɖaɾɛ calaʔa.
গ্রামে একটি ভাষা আছে।,There is a language in the village.,at̪oɾɛ bʰaka menaa.
তোমাদের ঔষধ ভালো।,Your medicine is good.,apɛaʔ ɾan d̪ɔ mɔ̃ɟa.
কুয়ায় একটি একমুঠো আছে।,There is a handful in the well.,kuɲɾɛ aɲd͡ʒle menaa.
সেই সময় আমি দুধ পান করে হ্রদে আসব।,"At that time, I drink the milk and then come to the lake.",ɔkt̪ɛɾɛ iɲ t̪o̯͡a ɲukat̪ɛ ɟɔlaɾɛ hiɟuʔa.
আড়ালে একটি বাক্য আছে।,There is a sentence in the covert.,ao̯tanɾɛ ajat menaa.
সকালে তোমরা ব্যান্ডেজ দেখে স্কুলে খেলবে।,"In the morning, you all see the bandger and then play in the school.",sɛt̪aʔɾɛ apɛ bədʰi ɲɛlkat̪ɛ iskulɾɛ gat̪ea.
বাসস্থানটি পরিষ্কার।,The dwelling place is clean.,bas d̪ɔ sapʰaa.
তোমার ঔষধ ভালো।,Your medicine is good.,amaʔ ɾan d̪ɔ mɔ̃ɟa.
আমার শক্তি ভালো।,My force is good.,iɲaʔ ad͡ʒʰãʈ d̪ɔ mɔ̃ɟa.
সেই সময় তোমরা ভোজ দেখে নদীতে আসবে।,"At that time, you all see the feast and then come to the river.",ɔkt̪ɛɾɛ apɛ bʰɔd͡ʒ ɲɛlkat̪ɛ gaɖaɾɛ hiɟuʔa.
"তোমরা ঘড়ি বিক্রি করবে, কিন্তু মাছ বিক্রি করবে না।","You all will sell the watch, but do not sell the fish.",apɛ d̪ɔ gʰuɽi ɘkʰɾiɲa mɛnkʰan haku bapɛ ɘkʰɾiɲa.
সেই সময় সে কথা পড়ে গ্রামে খেলবে।,"At that time, he/she study the word and then play in the village.",ɔkt̪ɛɾɛ uni kat̪ʰa paɽha͡o̯kat̪ɛ at̪oɾɛ gat̪ea.
তারা নিয়োগকর্তা ও হিসাব দেখবে।,They will see the employer and the account.,oŋko d̪ɔ ək̕t͡ʃu hɔɽ aɾ bil ɲɛla.
সকালে আমি মাছ কিনে নদীতে যাব।,"In the morning, I buy the fish and then go to the river.",sɛt̪aʔɾɛ iɲ haku kiɾiɲkat̪ɛ gaɖaɾɛ calaʔa.
উঠানে একটি ঢাকনা আছে।,There is a lid in the courtyard of house.,bəteɾɛ bɛnɛt̕ menaa.
সেই সময় তুমি কথা লিখে হ্রদে যাবে।,"At that time, you write the word and then go to the lake.",ɔkt̪ɛɾɛ am kat̪ʰa ɔlɔʔkat̪ɛ ɟɔlaɾɛ calaʔa.
তাদের আখড়া নতুন।,Their gathering is new.,oŋkoaʔ akʰɾa d̪ɔ nɔwaa.
নিকটবর্তী এলাকাে একটি অবিশ্বাসী আছে।,There is a heathen in the vicinity.,aɖe ʈolaɾɛ bedin menaa.
আমরা উত্তরাধিকারী দেখব না।,We do not see the heir.,alɛ d̪ɔ awəsi balɛ ɲɛla.
সকালে সে ভাষা লিখে গ্রামে খেলবে।,"In the morning, he/she write the language and then play in the village.",sɛt̪aʔɾɛ uni pɘɾsi ɔlɔʔkat̪ɛ at̪oɾɛ gat̪ea.
স্কুলে একটি ভূগোল আছে।,There is a geography in the school.,iskulɾɛ bʰugol menaa.
তোমার বেত ভালো।,Your cane is good.,amaʔ bɛt d̪ɔ mɔ̃ɟa.
তাদের খাবার ভালো।,Their food is good.,oŋkoaʔ ɟɔmaʔ d̪ɔ mɔ̃ɟa.
সে ঢোলকি বাদক ও শিখা দেখবে।,He/she will see the drummer and the flame.,uni d̪ɔ bəd͡ʒni aɾ ãt͡ʃ ɲɛla.
তোমরা নামা দেখবে।,You all will see the descent.,apɛ d̪ɔ anãɽgo ɲɛla.
তোমরা টাকা ও উত্তরাধিকারী দেখবে।,You all will see the money and the heir.,apɛ d̪ɔ ʈaka aɾ awəsi ɲɛla.
বাগানটি গুরুত্বপূর্ণ।,The garden is important.,bagan d̪ɔ ɟɘɾuɽa.
ব্যান্ডেজটি নতুন।,The bandger is new.,bədʰi d̪ɔ nɔwaa.
তাদের বিদেশী ভালো।,Their foreigner is good.,oŋkoaʔ bidesiə̯ d̪ɔ mɔ̃ɟa.
বাড়িতে একটি বন্যা আছে।,There is a flood in the house.,ɔɽaʔɾɛ bəd menaa.
"সে মাছ খাবে, কিন্তু রান্না খাবে না।","He/she will eat the fish, but does not eat the cooked food.",uni d̪ɔ haku ɟɔma mɛnkʰan basaŋ bai̯ ɟɔma.
"সে পরিমাপ দেখবে, কিন্তু শ্রাইক পাখি দেখবে না।","He/she will see the measure, but does not see the shrike.",uni d̪ɔ ae̯ ɲɛla mɛnkʰan bagʰa kɛɾkeʈa bai̯ ɲɛla.
আমি বেল্টের ক্ল্যাপ ও অনুশীলন দেখব।,I will see the belt clasp and the practice.,iɲ d̪ɔ bəkuk̕ aɾ bɛbɔhaɾ ɲɛla.
তার জাদুবিদ্যা ভালো।,His/her sorcery is good.,uniaʔ ban d̪ɔ mɔ̃ɟa.
অভ্যাসটি ভালো।,The habit is good.,bʰəsi d̪ɔ mɔ̃ɟa.
পরাজয়টি ভালো।,The beating is good.,alao̯ d̪ɔ mɔ̃ɟa.
গাড়ির চাকায় লাগানো খিলটি নতুন।,The cog put before a cartwheel is new.,baɳdʰi d̪ɔ nɔwaa.
গুহাে একটি বেঁকানো যন্ত্র আছে।,There is a brace for boring in the cave.,bʰugək̕ɾɛ bʰãoɾa menaa.
অভ্যাসটি পরিষ্কার।,The habit is clean.,bʰəsi d̪ɔ sapʰaa.
"আমরা পাঠ পড়ব, কিন্তু পাঠ পড়ব না।","We will study the lesson, but do not study the lesson.",alɛ d̪ɔ sikʰnɘt̪ paɽha͡o̯a mɛnkʰan sikʰnɘt̪ balɛ paɽha͡o̯a.
সেই সময় তারা ভাষা লিখে বাড়িতে খেলবে।,"At that time, they write the language and then play in the house.",ɔkt̪ɛɾɛ oŋko pɘɾsi ɔlɔʔkat̪ɛ ɔɽaʔɾɛ gat̪ea.
তোমার প্রকার ভালো।,Your kinds is good.,amaʔ bʰə̃t d̪ɔ mɔ̃ɟa.
আড়ালে একটি পরিমাপ আছে।,There is a measure in the covert.,ao̯tanɾɛ ae̯ menaa.
আমরা খাবার কিনেছি।,We have bought the food.,alɛ d̪ɔ ɟɔmaʔ kiɾiɲakada.
নদীতে একটি ভাদ্র মাস আছে।,There is an august-september in the river.,gaɖaɾɛ bʰadɔɾ menaa.
সেই সময় তুমি দুধ পান করে গ্রামে কাজ করবে।,"At that time, you drink the milk and then work in the village.",ɔkt̪ɛɾɛ am t̪o̯͡a ɲukat̪ɛ at̪oɾɛ kɘmia.
আজ তোমরা ভাষা লিখে গ্রামে কাজ করবে।,"Today, you all write the language and then work in the village.",t̪eheɲɾɛ apɛ pɘɾsi ɔlɔʔkat̪ɛ at̪oɾɛ kɘmia.
আমার সম্পদ গুরুত্বপূর্ণ।,My wealth is important.,iɲaʔ at͡ʃel d̪ɔ ɟɘɾuɽa.
গ্রামে একটি ডালিম আছে।,There is a pomegranate in the village.,at̪oɾɛ anaɾ menaa.
হ্রদে একটি নবজাতক আছে।,There is an infant in the lake.,ɟɔlaɾɛ balɛ menaa.
"তারা ওয়ারেন্ট দেখবে, কিন্তু ধনুক দেখবে না।","They will see the warrant, but do not see the bow.",oŋko d̪ɔ aɾoɳʈ ɲɛla mɛnkʰan ak̕ bako ɲɛla.
তারা দেবতা দেখেছিল।,They saw the deity.,oŋkoko bʰokta ɲɛlkeda.
সকালে তোমরা পাঠ পড়ে গ্রামে খেলবে।,"In the morning, you all study the lesson and then play in the village.",sɛt̪aʔɾɛ apɛ sikʰnɘt̪ paɽha͡o̯kat̪ɛ at̪oɾɛ gat̪ea.
কুয়ায় একটি বাজার আছে।,There is a bazaar in the well.,kuɲɾɛ bad͡ʒaɾ menaa.
আমার জলাধার পরিষ্কার।,My reservoir is clean.,iɲaʔ ahɾa d̪ɔ sapʰaa.
তুমি ঋতু দেখবে।,You will see the season.,am d̪ɔ bataɾ ɲɛla.
নিকটবর্তী এলাকাে একটি ব্যাখ্যা আছে।,There is an explanation in the vicinity.,aɖe ʈolaɾɛ bejan menaa.
আড়ালে একটি দল আছে।,There is a group in the covert.,ao̯tanɾɛ aɖa menaa.
পাড়াে একটি অজ্ঞতা আছে।,There is an ignorance in the neighbourhood.,aɖe paseɾɛ bʰut͡ʃ menaa.
আমরা দরখাস্ত ও ফোঁপানি দেখব।,We will see the petition and the blubbering.,alɛ d̪ɔ aɾd͡ʒa aɾ beɲ ɲɛla.
ইংল্যান্ডে একটি শিকার আছে।,There is a prey in the england.,bilətɾɛ aheɾ menaa.
"আমি কাজ দেখব, কিন্তু ফার্ন গাছ দেখব না।","I will see the work, but do not see the fern.",iɲ d̪ɔ kɘmi ɲɛla mɛnkʰan badgot͡ʃak̕ bɘɲ ɲɛla.
আমাদের আচরণ ভালো।,Our conduct is good.,alɛaʔ at͡ʃaɾ beo̯haɾ d̪ɔ mɔ̃ɟa.
তোমার কাঠের খুঁটি নতুন।,Your wooden pin is new.,amaʔ bʰaɲd͡ʒ kʰuɳʈi d̪ɔ nɔwaa.
"তারা মধু খাবে, কিন্তু মধু খাবে না।","They will eat the honey, but do not eat the honey.",oŋko d̪ɔ ɲɛlɛɾasa ɟɔma mɛnkʰan ɲɛlɛɾasa bako ɟɔma.
তোমরা দরখাস্ত দেখবে।,You all will see the petition.,apɛ d̪ɔ aɾd͡ʒa ɲɛla.
গতকাল তারা দুধ পান করে গ্রামে খেলবে।,"Yesterday, they drink the milk and then play in the village.",hɔlaɾɛ oŋko t̪o̯͡a ɲukat̪ɛ at̪oɾɛ gat̪ea.
ইংল্যান্ডে একটি কারকীয় ক্রিয়া আছে।,There is a causative inflection in the england.,bilətɾɛ a menaa.
হ্রদে একটি বামন আছে।,There is a dwarf in the lake.,ɟɔlaɾɛ bãoɽã menaa.
সে কণ্ঠস্বর দেখবে না।,He/she does not see the voice.,uni d̪ɔ aɽaŋ bai̯ ɲɛla.
সে ফুলের বৃতি ও গ্রাম দেখবে।,He/she will see the calyx of flower and the village.,uni d̪ɔ bɛnɛt aɾ ato ɲɛla.
চারা গাছটি গুরুত্বপূর্ণ।,The sapling is important.,bat͡ʃʰɽa daɾe d̪ɔ ɟɘɾuɽa.
অল্পটি ভালো।,The little is good.,ədʰəɾiə̯ d̪ɔ mɔ̃ɟa.
নিকটবর্তী এলাকাে একটি মোবাইল ফোন আছে।,There is a mobile phone in the vicinity.,aɖe ʈolaɾɛ mɔbaĭl pʰon menaa.
গতকাল আমি ঘড়ি কিনে স্কুলে খেলব।,"Yesterday, I buy the watch and then play in the school.",hɔlaɾɛ iɲ gʰuɽi kiɾiɲkat̪ɛ iskulɾɛ gat̪ea.
তুমি আত্মা দেখবে।,You will see the soul.,am d̪ɔ atma ɲɛla.
তোমরা কর্তৃত্ব দেখেছিলে।,You all saw the authority.,apɛpɛ adɔl ɲɛlkeda.
সকালে তুমি কথা পড়ে শহরে যাবে।,"In the morning, you study the word and then go to the town.",sɛt̪aʔɾɛ am kat̪ʰa paɽha͡o̯kat̪ɛ sɔhɔɽɾɛ calaʔa.
নিকটবর্তী এলাকাে একটি ব্যাঙের ডাক আছে।,There is a croak of frogs in the vicinity.,aɖe ʈolaɾɛ bɛbɛ menaa.
"তুমি টাকা পাবে, কিন্তু টাকা পাবে না।","You will get the money, but do not get the money.",am d̪ɔ ʈaka ɲama mɛnkʰan ʈaka bam ɲama.
তুমি পশুর স্তন দেখবে না।,You do not see the udder.,am d̪ɔ əɳɖwəɾ bam ɲɛla.
আমরা খাবার ও ঘড়ি কিনব।,We will buy the food and the watch.,alɛ d̪ɔ ɟɔmaʔ aɾ gʰuɽi kiɾiɲa.
তুমি শক্তি ও মাছের ছিটেফোঁটা সংগ্রহ দেখবে।,You will see the force and the gleanings of fish.,am d̪ɔ ad͡ʒʰãʈ aɾ bəɾəu̯ɖʰa ɲɛla.
"তুমি নির্গমন দেখবে, কিন্তু ওনিক্স পাথর দেখবে না।","You will see the emanation, but do not see the onyx.",am d̪ɔ əhlə ɲɛla mɛnkʰan beləu̯ɾ bam ɲɛla.
তোমাদের বন্ধুত্ব নতুন।,Your friendship is new.,apɛaʔ bʰab d̪ɔ nɔwaa.
আমি মাফ (হাতঢাকা) দেখব না।,I do not see the muff.,iɲ d̪ɔ bembʰa bɘɲ ɲɛla.
তাদের গহনা পরিষ্কার।,Their jewelry is clean.,oŋkoaʔ abʰɾan d̪ɔ sapʰaa.
স্কুলে একটি ভণ্ড আছে।,There is a pretender in the school.,iskulɾɛ bʰiduk menaa.
আজ আমরা ভাষা লিখে নদীতে কাজ করব।,"Today, we write the language and then work in the river.",t̪eheɲɾɛ alɛ pɘɾsi ɔlɔʔkat̪ɛ gaɖaɾɛ kɘmia.
তোমরা বন্ধকী ও বাঘ দেখবে।,You all will see the mortgage and the tiger.,apɛ d̪ɔ bəndki aɾ t̪ɘɾup̚ʔ ɲɛla.
আমরা গহনা দেখেছিলাম।,We saw the jewelry.,alɛlɛ abʰɾan ɲɛlkeda.
তাদের নিয়োগকর্তা নতুন।,Their employer is new.,oŋkoaʔ ək̕t͡ʃu hɔɽ d̪ɔ nɔwaa.
"তোমরা মা সাহায্য করবে, কিন্তু শিশু সাহায্য করবে না।","You all will help the mother, but do not help the child.",apɛ d̪ɔ gɔgɔ gɔɽɔa mɛnkʰan gid̪ɾɘ bapɛ gɔɽɔa.
সকালে তুমি ভাষা লিখে কুয়ায় আসবে।,"In the morning, you write the language and then come to the well.",sɛt̪aʔɾɛ am pɘɾsi ɔlɔʔkat̪ɛ kuɲɾɛ hiɟuʔa.
তাদের সময়কাল গুরুত্বপূর্ণ।,Their period is important.,oŋkoaʔ ãʈɾe d̪ɔ ɟɘɾuɽa.
আমরা নিষেধাত্মক উপসর্গ ও ছেঁড়া দেখব।,We will see the privative prefix and the rent.,alɛ d̪ɔ an aɾ baŋ baŋ ɲɛla.
তোমার অপচয় ভালো।,Your waste is good.,amaʔ apt͡ʃo d̪ɔ mɔ̃ɟa.
শহরে একটি টাকা আছে।,There is a money in the town.,sɔhɔɽɾɛ ʈaka menaa.
বেশ্যাটি নতুন।,The harlot is new.,bət͡ʃkəɾ d̪ɔ nɔwaa.
হ্রদে একটি রোগ আছে।,There is an illness in the lake.,ɟɔlaɾɛ ɾu̯͡ɘ menaa.
তারা বংশধর দেখবে।,They will see the descendants.,oŋko d̪ɔ ãosa bãosa ɲɛla.
তোমরা খাবার ও ঔষধ কিনবে।,You all will buy the food and the medicine.,apɛ d̪ɔ ɟɔmaʔ aɾ ɾan kiɾiɲa.
তাদের অবসর ভালো।,Their leisure is good.,oŋkoaʔ apʰsoɾ d̪ɔ mɔ̃ɟa.
নদীতে একটি পয়সা আছে।,There is a pice in the river.,gaɖaɾɛ anapʰana menaa.
সে খড়ের মোটা দড়ি দেখেছিল।,He/she saw the thick straw rope.,unii̯ baɾahi ɲɛlkeda.
আমি কারকীয় ক্রিয়া দেখব।,I will see the causative inflection.,iɲ d̪ɔ a ɲɛla.
তুমি এক তোলা দেখবে না।,You do not see the one tola.,am d̪ɔ bʰoɾi bam ɲɛla.
"আমি ঔষধ পাব, কিন্তু ছবি পাব না।","I will get the medicine, but do not get the photo.",iɲ d̪ɔ ɾan ɲama mɛnkʰan pʰɔʈɔ bɘɲ ɲama.
সকালে তোমরা দুধ পান করে নদীতে খেলবে।,"In the morning, you all drink the milk and then play in the river.",sɛt̪aʔɾɛ apɛ t̪o̯͡a ɲukat̪ɛ gaɖaɾɛ gat̪ea.
আজ আমরা দুধ পান করে নদীতে খেলব।,"Today, we drink the milk and then play in the river.",t̪eheɲɾɛ alɛ t̪o̯͡a ɲukat̪ɛ gaɖaɾɛ gat̪ea.
সকালে তুমি ভাষা পড়ে কুয়ায় কাজ করবে।,"In the morning, you study the language and then work in the well.",sɛt̪aʔɾɛ am pɘɾsi paɽha͡o̯kat̪ɛ kuɲɾɛ kɘmia.
গতকাল তারা কথা লিখে গ্রামে কাজ করবে।,"Yesterday, they write the word and then work in the village.",hɔlaɾɛ oŋko kat̪ʰa ɔlɔʔkat̪ɛ at̪oɾɛ kɘmia.
তাদের আধপাকা ফলের বিচি পরিষ্কার।,Their kernel of half-ripe fruits is clean.,oŋkoaʔ bʰəti d̪ɔ sapʰaa.
বাসস্থানে একটি মহাপ্লাবন আছে।,There is a deluge in the dwelling place.,basɾɛ bajaban menaa.
সকালে তারা কথা পড়ে নদীতে যাবে।,"In the morning, they study the word and then go to the river.",sɛt̪aʔɾɛ oŋko kat̪ʰa paɽha͡o̯kat̪ɛ gaɖaɾɛ calaʔa.
তাদের খড় পরিষ্কার।,Their chaff is clean.,oŋkoaʔ bʰusə d̪ɔ sapʰaa.
গতকাল আমরা মাছ খেয়ে বাড়িতে যাব।,"Yesterday, we eat the fish and then go to the house.",hɔlaɾɛ alɛ haku ɟɔmkat̪ɛ ɔɽaʔɾɛ calaʔa.
স্ত্রীটি ভালো।,The wife is good.,bəhu d̪ɔ mɔ̃ɟa.
আজ আমি ভাষা পড়ে নদীতে কাজ করব।,"Today, I study the language and then work in the river.",t̪eheɲɾɛ iɲ pɘɾsi paɽha͡o̯kat̪ɛ gaɖaɾɛ kɘmia.
নদীতে একটি ঘড়ি আছে।,There is a watch in the river.,gaɖaɾɛ gʰuɽi menaa.
আজ তোমরা ভাষা পড়ে শহরে আসবে।,"Today, you all study the language and then come to the town.",t̪eheɲɾɛ apɛ pɘɾsi paɽha͡o̯kat̪ɛ sɔhɔɽɾɛ hiɟuʔa.
আমাদের খিঁচুনি পরিষ্কার।,Our convulsions is clean.,alɛaʔ ḅahiɾ bəi̯ d̪ɔ sapʰaa.
সেই সময় সে মাছ খেয়ে স্কুলে কাজ করবে।,"At that time, he/she eat the fish and then work in the school.",ɔkt̪ɛɾɛ uni haku ɟɔmkat̪ɛ iskulɾɛ kɘmia.
নিকটবর্তী এলাকাে একটি হাত আছে।,There is a hand in the vicinity.,aɖe ʈolaɾɛ t̪i menaa.
তোমাদের ফ্যাথম নতুন।,Your fathom is new.,apɛaʔ aɾpa d̪ɔ nɔwaa.
তারা কাজ দেখবে।,They will see the work.,oŋko d̪ɔ kɘmi ɲɛla.
শহরে একটি প্রেমালাপ আছে।,There is a flirting in the town.,sɔhɔɽɾɛ əŋgɾa menaa.
তাদের বংশধর পরিষ্কার।,Their descendants is clean.,oŋkoaʔ ãosa bãosa d̪ɔ sapʰaa.
আমাদের খাবার সুস্বাদু।,Our victuals is tasty.,alɛaʔ aʈa saʈa d̪ɔ sibila.
"আমরা কালো ভাল্লুক দেখব, কিন্তু প্রণয়ভঙ্গি দেখব না।","We will see the black bear, but do not see the coquetry.",alɛ d̪ɔ bana ɲɛla mɛnkʰan əngɾa balɛ ɲɛla.
আজ আমরা রান্না খেয়ে নদীতে খেলব।,"Today, we eat the cooked food and then play in the river.",t̪eheɲɾɛ alɛ basaŋ ɟɔmkat̪ɛ gaɖaɾɛ gat̪ea.
আমরা শাল দেখব।,We will see the shawl.,alɛ d̪ɔ bəɾki ɲɛla.
শহরে একটি ছোট মশা আছে।,There is a midge in the town.,sɔhɔɽɾɛ bəsɳɖi menaa.
পাড়াে একটি পাকা রাস্তা আছে।,There is a pavement in the neighbourhood.,aɖe paseɾɛ bəi̯səu̯ dʰiɾi menaa.
তাদের ঝড়বৃষ্টি নতুন।,Their storm of wind & rain is new.,oŋkoaʔ əndʰi dak̕ d̪ɔ nɔwaa.
গতকাল আমরা ঘড়ি কিনে গ্রামে যাব।,"Yesterday, we buy the watch and then go to the village.",hɔlaɾɛ alɛ gʰuɽi kiɾiɲkat̪ɛ at̪oɾɛ calaʔa.
সকালে আমি খাবার কিনে গ্রামে আসব।,"In the morning, I buy the food and then come to the village.",sɛt̪aʔɾɛ iɲ ɟɔmaʔ kiɾiɲkat̪ɛ at̪oɾɛ hiɟuʔa.
সেই সময় সে ভাষা পড়ে নদীতে খেলবে।,"At that time, he/she study the language and then play in the river.",ɔkt̪ɛɾɛ uni pɘɾsi paɽha͡o̯kat̪ɛ gaɖaɾɛ gat̪ea.
পাড়াে একটি রীতি আছে।,There is a customs in the neighbourhood.,aɖe paseɾɛ at͡ʃaɾ menaa.
সেই সময় আমি বিদ্যুৎ দেখে হ্রদে আসব।,"At that time, I see the lightning and then come to the lake.",ɔkt̪ɛɾɛ iɲ bid͡ʒli ɲɛlkat̪ɛ ɟɔlaɾɛ hiɟuʔa.
সে মুক্তি দেখবে না।,He/she does not see the salvation.,uni d̪ɔ baɲt͡ʃao̯k̕ bai̯ ɲɛla.
আমার রান্না সুস্বাদু।,My cooked food is tasty.,iɲaʔ basaŋ d̪ɔ sibila.
আড়ালে একটি অপমান আছে।,There is a disgrace in the covert.,ao̯tanɾɛ apd͡ʒɔs menaa.
সকালে তারা ভাষা লিখে হ্রদে খেলবে।,"In the morning, they write the language and then play in the lake.",sɛt̪aʔɾɛ oŋko pɘɾsi ɔlɔʔkat̪ɛ ɟɔlaɾɛ gat̪ea.
ফুলের বৃতিটি নতুন।,The calyx of flower is new.,bɛnɛt d̪ɔ nɔwaa.
গুহাে একটি পাড়া আছে।,There is a neighbourhood in the cave.,bʰugək̕ɾɛ aɖe pase menaa.
তাদের গাঁজা ভালো।,Their hemp drug is good.,oŋkoaʔ bʰaŋ d̪ɔ mɔ̃ɟa.
আমরা খিঁচুনি দেখব।,We will see the convulsions.,alɛ d̪ɔ ḅahiɾ bəi̯ ɲɛla.
বাসস্থানে একটি ফুলের মালা আছে।,There is a garland of flowers in the residence.,basaɾɛ baha mala menaa.
সকালে তারা খাবার কিনে স্কুলে আসবে।,"In the morning, they buy the food and then come to the school.",sɛt̪aʔɾɛ oŋko ɟɔmaʔ kiɾiɲkat̪ɛ iskulɾɛ hiɟuʔa.
উঠানে একটি বংশধর আছে।,There is a descendants in the courtyard of house.,bəteɾɛ ãosa bãosa menaa.
তোমরা মাথা ঘোরা দেখবে।,You all will see the vertigo.,apɛ d̪ɔ bʰãoɾi ɲɛla.
তুমি বিড়াল দেখেছিলে।,You saw the cat.,amɛm pusi ɲɛlkeda.
আড়ালে একটি করতাল আছে।,There is a cymbals in the covert.,ao̯tanɾɛ bad͡ʒna menaa.
সকালে আমি বিকার দেখে স্কুলে কাজ করব।,"In the morning, I see the delirium and then work in the school.",sɛt̪aʔɾɛ iɲ bəi̯ ɲɛlkat̪ɛ iskulɾɛ kɘmia.
একটি বাঘ শহরে আছে।,One tiger is in the town.,mit̪ʔʈɛn t̪ɘɾup̚ʔ d̪ɔ sɔhɔɽɾɛ menaa.
স্কুলে একটি স্বাস্থ্য আছে।,There is a health in the school.,iskulɾɛ bega d͡ʒudə menaa.
আজ তুমি মাছ খেয়ে শহরে কাজ করবে।,"Today, you eat the fish and then work in the town.",t̪eheɲɾɛ am haku ɟɔmkat̪ɛ sɔhɔɽɾɛ kɘmia.
আমরা আনা দেখেছিলাম।,We saw the anna.,alɛlɛ ana ɲɛlkeda.
"তারা শিশু সাহায্য করবে, কিন্তু মানুষ সাহায্য করবে না।","They will help the child, but do not help the person.",oŋko d̪ɔ gid̪ɾɘ gɔɽɔa mɛnkʰan hɔɽ bako gɔɽɔa.
তারা জ্ঞান ও ব্যাখ্যা দেখবে।,They will see the knowledge and the explanation.,oŋko d̪ɔ bʰas aɾ bejan ɲɛla.
তাদের ডায়াবেটিস ভালো।,Their diabetes is good.,oŋkoaʔ bəhumut d̪ɔ mɔ̃ɟa.
নামাটি ভালো।,The descent is good.,anãɽgo d̪ɔ mɔ̃ɟa.
গ্রামে একটি বিদ্যা আছে।,There is a learning in the village.,at̪oɾɛ bidiə̯ menaa.
"তুমি মোবাইল ফোন বিক্রি করবে, কিন্তু ঘড়ি বিক্রি করবে না।","You will sell the mobile phone, but do not sell the watch.",am d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲa mɛnkʰan gʰuɽi bam ɘkʰɾiɲa.
আজ আমি মাছ কিনে স্কুলে খেলব।,"Today, I buy the fish and then play in the school.",t̪eheɲɾɛ iɲ haku kiɾiɲkat̪ɛ iskulɾɛ gat̪ea.
আমরা প্রসবোত্তর নাড়ি দেখেছি।,We have seen the afterbirth placenta.,alɛ d̪ɔ baha āowāɾ ɲɛlakada.
আমাদের আত্মা নতুন।,Our soul is new.,alɛaʔ atma d̪ɔ nɔwaa.
এক প্রজাতির মাছটি গুরুত্বপূর্ণ।,The species of fish is important.,badʰoɽ d̪ɔ ɟɘɾuɽa.
পাড়াে একটি দেবতা আছে।,There is a deity in the neighbourhood.,aɖe paseɾɛ bʰokta menaa.
তোমরা অভিযোগকারী ও আস্থা দেখবে।,You all will see the accuser and the confidence.,apɛ d̪ɔ bədi aɾ baɾsa ɲɛla.
পাড়াে একটি চুল্লি আছে।,There is a furnace in the neighbourhood.,aɖe paseɾɛ bʰaʈa menaa.
আজ তোমরা মোবাইল ফোন কিনে শহরে আসবে।,"Today, you all buy the mobile phone and then come to the town.",t̪eheɲɾɛ apɛ mɔbaĭl pʰon kiɾiɲkat̪ɛ sɔhɔɽɾɛ hiɟuʔa.
তারা অসুস্থতা ও সন্ধ্যাকাল দেখবে।,They will see the sickness and the eventide.,oŋko d̪ɔ bigʰin aɾ əjup̕ pajaɾ ɲɛla.
তোমার বাদ্যযন্ত্র গুরুত্বপূর্ণ।,Your musical instrument is important.,amaʔ bad͡ʒa d̪ɔ ɟɘɾuɽa.
নদীতে একটি ব্যাগ আছে।,There is a bag in the river.,gaɖaɾɛ bɛg menaa.
সকালে তোমরা পাঠ পড়ে কুয়ায় খেলবে।,"In the morning, you all study the lesson and then play in the well.",sɛt̪aʔɾɛ apɛ sikʰnɘt̪ paɽha͡o̯kat̪ɛ kuɲɾɛ gat̪ea.
"তুমি মাছ খাবে, কিন্তু মাছ খাবে না।","You will eat the fish, but do not eat the fish.",am d̪ɔ haku ɟɔma mɛnkʰan haku bam ɟɔma.
কুয়ায় একটি ডুমুর গাছের এক প্রজাতি আছে।,There is a fig tree in the well.,kuɲɾɛ əɲd͡ʒiɾ menaa.
আমাদের হ্রদ পরিষ্কার।,Our lake is clean.,alɛaʔ ɟɔla d̪ɔ sapʰaa.
আজ আমি মাছ কিনে গ্রামে কাজ করব।,"Today, I buy the fish and then work in the village.",t̪eheɲɾɛ iɲ haku kiɾiɲkat̪ɛ at̪oɾɛ kɘmia.
